產品編號,產品名稱
GA01C3041,配料-興福-杏仁奶
GA01D1031,配料-興福-CR1035奶精
GA05A3011,配料-銓綿-摩卡咖啡粉
GA05B3011,配料-銓綿-奶茶粉2號
GA05B3012,配料-銓綿-奶茶粉-1號
GA05C2011,配料-銓綿-開心果奶蓋粉
GA05C3011,配料-銓綿-椰香粉
GA05C3011-5,配料-銓綿-椰香粉-公司配方
GA05C3021,配料-銓綿-芝麻粉
GA05C3031,配料-銓綿-杏仁粉
GA05C3061,配料-銓綿-香草粉
GA05C3071,配料-銓綿-麥芽巧克力
GA05C3101,配料-銓綿-巧克力粉
GA05C3121,配料-銓綿-白巧克力風味粉
GA05C3511,配料-銓綿-起司奶蓋粉
GA05C3521,配料-銓綿-烤布蕾奶蓋粉
GA05D1051,配料-銓綿-香草奶精
GA05D2011,配料-銓綿-芒果粉
GA05D2021,配料-銓綿-芋頭粉
GA05D2031,配料-銓綿-草莓粉
GA05D2051,配料-銓綿-哈密瓜粉
GA05D2061,配料-銓綿-荔枝粉
GA05D2071,配料-銓綿-木瓜粉
GA05D2081,配料-銓錦-黃哈密瓜粉
GA05D2091,配料-銓綿-西瓜粉
GA05D2101,配料-銓綿-鳳梨粉
GA05D2121,配料-銓綿-香蕉粉
GA05D2131,配料-銓綿-百香果粉
GA05D2141,配料-銓綿-酪梨粉-牛油果
GA05D2142,配料-銓綿-酪梨粉(卡城)
GA05D2151,配料-銓綿-水蜜桃粉
GA10B3011-1,配料-雲祥-北海道奶茶
GA10C3071-1,配料-安立司-巧克力粉-A
GA10C3081-1,配料-雲祥-芝麻粉-A
GA10C3811,配料-雲祥-椰子奶
GA10C3821,配料-雲祥-抹茶奶
GA10C3831,配料-雲祥-香草奶
GA10D2011-1,配料-安立司-草莓粉-A
GA10D2031-1,配料-安立司-西瓜粉-A
GA10D2071-1,配料-安立司-綠哈密瓜粉-A
GA10D2811,配料-雲祥-芋頭奶
GA10D2821,配料-雲祥-草莓奶
GA10D2841,配料-雲祥-芒果牛奶
GA20B3011,配料-乙元珍-北海道奶茶
GA20B3021,配料-乙元珍-沖繩黑糖奶茶
GA28A6013,配料-義峰-拿鐵咖啡
GA28B6013,配料-義峰-皇家奶茶
GA28C3011,配料-義峰-阿薩姆奶茶奶粉
GA28C3031,配料-義峰-巧克力奶粉
GA29B3011,配料-三商行-黑糖奶茶
GA39A3011,配料-大中和-黃金曼特寧咖啡
GA39A3021,配料-大中和-榛果咖啡
GA50A3831,配料-丞俐-榛果拿鐵粉-素
GA50A3841,配料-丞俐-摩卡咖啡粉-素
GA50B3811,配料-丞俐-黑糖奶茶粉-素
GA65T3041,配料-鶴岡-檸檬紅茶
GA91B2011,配料-台沛-特級奶茶粉
GA91B3011,配料-台沛-泰式奶茶粉
GA91B3021,配料-台沛-三合一奶茶
GA91C2021,配料-台沛-玫荔奶蓋粉
GA91C2041,配料-台沛-提拉米蘇奶蓋粉
GA91C3011,配料-台沛-椰子粉
GA91C3031,配料-台沛-香草粉
GA91D1021,配料-台沛-植物性奶精粉
GA91D1031,配料-台沛-奶精粉(TM918)
GA91D2051,配料-台沛-黃哈密瓜粉
GA91D2081,配料-台沛-芋頭粉
GA91D2082,配料-台沛-芋頭粉
GD01C3011,配料-米可可-杏仁茶
GD01T3021,配料-米可可-檸檬紅茶
GD21C3011,配料-新台豐-抹茶歐蕾
GD21C3011-1,配料-新台豐-抹茶歐蕾+NSP
GD21C3021,配料-新台豐-原味海鹽奶蓋粉
GD21C3021-1,配料-新台豐-原味海鹽奶蓋粉NV
GD21C3031,配料-新台豐-特濃可可粉
GD27R6011,配料-食味鮮-椰漿粉
GD44C3011,配料-墨力-杏仁粉
GD45A3011,配料-采唐-卡布奇諾咖啡粉
GD45D2021,配料-采唐-綠哈蜜瓜粉
GD45D2041,配料-采唐-芋頭粉
GD45D2051,配料-采唐-厚奶精
GD46L3011,配料-星宇-馬鈴薯濃湯
GD52B3011,配料-台深-阿薩姆奶茶
GD52B3021,配料-台深-伯爵奶茶
GD52B3051,配料-台深-黑糖奶茶粉
GD52B306291,配料-台深-泰式奶茶調味粉
GD52B307291,配料-台深-抹茶歐蕾調味粉
GD52B307292,配料-台深-抹茶歐蕾調味粉(美國)
GD52C302291,配料-台深-椰子調味粉
GD52D2041,配料-台深-香檳調味粉
GD52D2051,配料-台深-百香果粉B
GD52D2071,配料-台深-美極斑蘭調味粉
GD52D209112,配料-台深-西瓜調味粉
GD52D210292,配料-台深-特上芋頭調味粉(美國)
GD59Z2011,配料-安中-Deluxe黑巧克力霜淇淋粉
GD59Z2021,配料-安中-Deluxe牛奶風味霜淇淋粉
GD72B3011,配料-老虎堂-紅茶拿鐵
GD72D1011,配料-老虎堂-奶精粉
GD72M3011,配料-老虎堂-梅子撒粉
GD75B6011,配料-歐比特-紅茶拿鐵
GD75B6042,配料-歐比特-抹茶拿鐵JB
GD75B6052,配料-歐比特-芋頭拿鐵JB
GD75B6061,配料-歐比特-黑糖奶茶
GD75B6071,配料-歐比特-紅茶奶茶
GD75B6081,配料-歐比特-抹茶奶茶
GD83D1011,配料-黃紅藍-SETTEA奶精
GD83D3011,配料-皇品-咖啡專用奶泡粉
GD83Z2011,配料-皇品-香草霜淇淋粉
GD83Z2021,配料-皇品-巧克力霜淇淋粉
GD83Z2031,配料-皇品-焙茶奶茶霜淇淋粉
GD83Z2041,配料-皇品-玫瑰荔枝霜淇淋粉
GD85D10062,配料-鮮Q奶精+
GD87B3011,配料-珍煮丹-珍煮丹泰式奶茶粉
GD87B301128,配料-珍煮丹-泰式奶茶粉(素)
GD91C3011,配料-柏元-太妃糖風味粉
GD91C3021,配料-柏元-開心果風味粉
