貨品編號,貨品名稱,規格,單位,單價未稅,特性描述,供應商號,供應商
BA01A0101-1,糖粉-1-佳質,25公斤/袋,克,0.037,,SA0001,佳質轉入(20)
BA01A0103,葡萄糖-佳質,25公斤/袋,克,0.025,,SA0001,佳質轉入(20)
BA01A0103-1,葡萄糖-1-佳質,25公斤/袋,克,0.02,,SA0001,佳質轉入(20)
BA01A0103-21,葡萄糖-2-佳質,25KG/袋,克,0.02,,SA0001,佳質轉入(20)
BA01A0104,乳糖-佳質,25公斤/袋,克,0.052,"標示：乳糖，Lactose
過敏原：(四)牛奶、羊奶及其製品
特性：是一種雙醣，分子結構由一分子葡萄糖和一分子半乳糖缩合形成，乳糖為非結晶狀具有很強的吸濕性。利用乳糖焦糖化溫度較低(蔗糖163℃、葡萄糖154.5℃、乳糖僅129.5℃)的特點，對某些特殊的焙烤食品，可在較低的烘烤溫度下獲得較深的黄色至焦糖色澤，且有防止結晶、降低甜度、防止黏結和增强香味等作用。
甜度：25%
乳糖，溶解後呈澄清狀，不影響產品顏色，香氣、味道自然，可作為增量劑使用。
乳糖具有易壓縮成型特性可作為錠劑之賦形劑。另外乳糖可以應用於甜味劑、香料、色素的載體。",SA0001,佳質轉入(20)
BA01A0104-1,乳糖-1-佳質,25公斤/袋,克,0.048,,SA0001,佳質轉入(20)
BA01B0201,LBG-明透膠 RL-200,25公斤/袋,克,1.55,"標示：刺槐豆膠又稱明透膠，Locust Bean Gum，簡稱LBG
食品添加物：第十二類-黏稠劑
產品應用： 冰淇淋、果凍、布丁、乳製品
特性：刺槐豆膠乃自地中海區域的一種豆科植物胚乳所提取而精製成的一種天然膠。
其水溶液具有乳化，安定，增粘，結著，懸濁與凝膠助劑等作用。
單獨使用不凝膠，若與其他膠體，如海藻膠，三仙膠、鹿角菜膠並用，能產生相乘作用，促使凝膠，得到不同性質之膠體。
還可用於乳製品及冷凍乳製品甜食中作保水劑，以增進口感及防止冰晶形成。
添加在冰淇淋中，用來提升冰淇淋的外觀質感，並且減少冰淇淋的溶化狀況。
注意事項：
1.非冷水可溶類，水溶液須加熱至85℃左右，膠類才能完全溶解。
2.僅在鹿角菜膠或三仙膠存在下，才具有凝膠助劑的功能。
3.刺槐豆膠與鹿角菜膠複配可形成彈性果凍，而單獨使用鹿角菜膠則只能獲得脆性果凍。
4.刺槐豆膠、海藻膠與氯化钾複配廣泛用作寵物罐頭中的複合膠凝劑。
5.刺槐豆膠、鹿角菜膠、CMC的複合是良好的冰淇淋穩定劑，用量0.1-0.2%。。
6.當三仙膠與刺槐豆膠在總濃度為１％，共混比例為60/40時，它們之間可以達到協同相互作用的最佳效果。
7.用於奶酪生產可加快奶酪的絮凝作用，增加產量並增進塗布效果，用量為0.2-0.6%。",SA2001-2,國華貿易股份有限公司(22)
BA01B0205-1,關華豆膠S200,25KG/袋,克,0.137,"標示：關華豆膠又稱，Guar Gum
食品添加物：第十二類-黏稠劑
特性：關華豆膠 (GUAR GUM)，是一種半乳甘露聚醣（galactomannan）。為一種豆科植物之種子的胚乳部份取出精製而成的一種天然膠能發揮乳化，安定，增粘，結著，懸濁，潤滑等作用，用途相當廣泛。例如：冰淇淋、和菓子、海鮮煉製品、沙拉醬等等，幾乎都有使用。
關華豆膠並不會自己形成凝膠，使用硼砂或者鈣可以使關華豆膠產生交聯使其形成凝膠。
化學性質：
能分散在熱或冷的水中形成粘稠液，1%水溶液，爲天然膠中粘度最高者。添加少量四硼酸鈉則轉變成凝膠。水溶液爲中性。pH值6～8粘度最高，pH值10以上則迅速降低。pH值6.0～3.5範圍内隨pH值降低，粘度亦降低。pH值3.5以下粘度又增大。　
食品工業中的應用:
1、在冷飲如冰淇淋、雪糕、冰霜、冰品中起優良穩定劑作用，防止冰晶產生，起著增稠、乳化作用。
2、在飲料中起到增稠保水和穩定劑作用，並改善口感。
3. 粘度經時性佳。關華豆膠水溶液泡製24小時以上，粘度仍有上升現象。
4. 耐酸、耐鹼性佳，pH2～10之範圍，粘度相當安定。
5. 耐熱性佳。其水溶液經長時間殺菌溫度，粘度無顯著變化。
6. 耐鹽性優良。關華豆膠和適當食鹽混合後溶於水，不會有鹽析現象發生，為優於一般CMC之處。",SA2001-2,國華貿易股份有限公司(22)
BA01B0206,CMC-粘精,20KG/袋,克,0.198,"標示：羧甲基纖維素鈉，Sodium Carboxymethyl Cellulose，簡稱CMC
食品添加物：第十二類-黏稠劑，限量用量為 20g/kg 以下。",SA2005,信意企業股份有限公司(21)
BA01B0207,霜淇淋安定劑,1KG*25包/箱,克,0.318,,SA2002,大中新記貿易股份有限公司(21)
