產品編號,產品名稱,版本別,標準工時,規格,單據備註,
FA01C3041,香料-興福-杏仁奶,1030417四/990101五,0,公斤,1030417四，興福/益合,
FA01D1031,香料-興福-CR1035奶精,20230216四20210706二1021029二,0,公斤,20230216四,
FA05A3011,香料-銓綿-摩卡咖啡粉,20210514五990101五,0,公斤,20210514五,
FA05B3011,香料-銓綿-奶茶粉2號,20210514五20200622一/990101五,0,公斤,20210514五,
FA05B3012,香料-銓綿-奶茶粉-1號,1010519六,0,公斤,1010519六,
FA05C2011,香料-銓綿-開心果奶蓋粉,20250324一,0,公斤,20250324一,
FA05C3011,香料-銓綿-椰香粉,990101五,0,公斤,990101五，銓綿/丞俐,
FA05C3011-5,香料-銓綿-椰香粉-公司配方,20210521五20180604一/1070320二,0,公斤,20210521五,
FA05C3031,香料-銓綿-杏仁粉,20211208三20210528五1030417四,0,公斤,20211208三,
FA05C3061,香料-銓綿-香草粉,20210528五981109一,0,公斤,20210528五,
FA05C3071,香料-銓綿-麥芽巧克力,20210528五1060522一/1050923五,0,公斤,20210528五,
FA05C3101,香料-銓綿-巧克力粉,20210521五990810二,0,公斤,20210521五,
FA05C3511,香料-銓綿-起司奶蓋粉,20230809三20200120一,0,公斤,20230809三,
FA05C3521,香料-銓綿-烤布蕾奶蓋粉,20200205三,0,公斤,20200205三,
FA05D1051,香料-銓綿-香草奶精,20210524一1040407二,0,公斤,20210524一,
FA05D2011,香料-銓綿-芒果粉,20241216一20210514五20210315一,0,公斤,20241216一,
FA05D2021,香料-銓綿-芋頭粉,20210519三20210512三20180410二,0,公斤,20210519三,
FA05D2031,香料-銓綿-草莓粉,20210805四20210512三20191129五,0,公斤,20210805四,
FA05D2051,香料-銓綿-哈密瓜粉,20210507五/20210409五,0,公斤,20210507五,
FA05D2061,香料-銓綿-荔枝粉,20210429四990101五,0,公斤,20210429四,
FA05D2071,香料-銓綿-木瓜粉,20230221二20210601二20210527四,0,公斤,20230221二,
FA05D2081,香料-銓綿-黃哈密瓜粉,20210528五1000307一,0,公斤,20210528五,
FA05D2091,香料-銓綿-西瓜粉,20210524一20210518二20210409五,0,公斤,20210524一,
FA05D2101,香料-銓綿-鳳梨粉,20210625五20210526三20210510一,0,公斤,20210625五,
FA05D2121,香料-銓綿-香蕉粉,20210521五20191209一1060522一,0,公斤,20210521五,
FA05D2131,香料-銓綿-百香果粉,20230207二20210601二20210527四,0,公斤,20230207二,
FA05D2141,香料-銓綿-酪梨粉-牛油果,20230516二20220317四1060522一,0,公斤,20230516二，銓綿/安立司A,
FA05D2142,香料-銓綿-酪梨粉-卡城,20220617五20210707三20210521五,0,公斤,20220617五,
FA05D2151,香料-銓綿-水蜜桃粉,20210823一20210524一20191129五,0,公斤,20210823一,
FA10B3011-1,香料-雲祥-北海道奶茶,20201023五,0,公斤,20201023五,
FA10C3811,香料-雲祥-椰子奶,20230309四,0,公斤,20230309四,
FA10C3821,香料-雲祥-抹茶奶,20230309四,0,公斤,20230309四,
FA10C3831,香料-雲祥-香草奶,20230309四,0,公斤,20230309四,
FA10D2011-1,香料-安立司-草莓粉A,1010423一,0,公斤,1010423一,
FA10D2031-1,香料-安立司-西瓜粉-A,1000927二,0,公斤,1000927二,
FA10D2071-1,香料-安立司-綠哈密瓜粉-A,1000927二,0,公斤,1000927二,
FA10D2811,香料-雲祥-芋頭奶,20230313一20230309四,0,公斤,20230313一,
FA10D2821,香料-雲祥-草莓奶,20230309四,0,公斤,20230309四,
FA10D2841,香料-雲祥-芒果牛奶,20250210一、20240222四,0,公斤,20250210一,
FA20B3011,香料-乙元珍-北海道奶茶,20210524一1000304五,0,公斤,20210524一,
FA20B3021,香料-乙元珍-黑糖奶茶,1000304五,0,公斤,1000304五,
FA28A6013,香料-義峰-拿鐵咖啡,"990414三,981110二",0,公斤,,
FA28B6011,香料-義峰-皇家奶茶,981110二,0,公斤,981110二,
FA28C3011,香料-義峰-阿薩姆奶茶,20210518二990101五,0,公斤,20210518二,
FA28C3031,香料-義峰-巧克力奶粉,1060522一/991122一，990101五,0,公斤,1060522一,
FA29B3011,香料-三商行-黑糖奶茶,1020530四/1010618一/1000709六,0,公斤,1020530四(葡萄糖品項更正),
FA39A3011,香料-大中和-曼特寧咖啡,20210518二1050413三/981016五,0,公斤,20210518二,
FA39A3021,香料-大中和-榛果咖啡,990101五,0,公斤,990101五,
FA50A3831,香料-丞俐-榛果拿鐵粉-素,20240521二,0,公斤,20240521二,
FA50A3841,香料-丞俐-摩卡咖啡粉-素,20240926四,0,公斤,20240926四,
FA50B3811,香料-丞俐-黑糖奶茶粉-素,20240903二,0,公斤,20240903二,
FA65T3041,香料-鶴岡-檸檬紅茶,20221109三,0,公斤,20221109三,
FA91B2011,香料-台沛-特級奶茶粉,1020603一,0,公斤,,
FA91B3011,香料-台沛-泰式奶茶粉,1040304三,0,公斤,1040304三,
FA91B3021,香料-台沛-三合一奶茶,20210528五1040302一,0,公斤,20210528五,
FA91C2021,香料-台沛-玫荔奶蓋粉,20230613二,0,公斤,20230613二,
FA91C2041,香料-台沛-提拉米蘇奶蓋粉,20230613二,0,公斤,20230613二,
FA91C3011,香料-台沛-椰子粉,1020521二,0,公斤,1020521二,
FA91C3031,香料-台沛-香草粉,20210630三20200928一1020521二,0,公斤,20210630三,
FA91D1021,香料-台沛-植物性奶精粉,20220805五,0,公斤,20220805五,
FA91D2051,香料-台沛-黃哈密瓜粉,1020603一,0,公斤,,
FA91D2081,香料-台沛-芋頭粉,20190416二,0,公斤,20190416二,
FA91D2082,香料-台沛-芋頭粉,20240820二,0,公斤,20240910二下次生產提醒品管注意沖色，20240820二,
FD01C3011,香料-米可可-杏仁茶,20210518二1030417四/1000924六,0,公斤,20210518二,
FD01T3021,香料-米可可-檸檬紅茶,1020429一/1020329五/1010620三,0,公斤,1020429一,
FD21C3021,香料-新台豐-原味海鹽奶蓋粉,20230612一20180913四/1060522一,0,公斤,20230612一,
FD21C3021-1,香料-新台豐-原味海鹽奶蓋粉NV,20230809三20180913四20180613三,0,公斤,20230809三,
FD21C3031,香料-新台豐-特濃可可粉,1061027五,0,公斤,1061027五,
FD44C3011,香料-墨力-杏仁粉,20191009三,0,公斤,20191009三,
FD45A3011,香料-采唐-卡布奇諾咖啡粉,20190715一,0,公斤,20190715一,
FD45D2021,香料-采唐-綠哈蜜瓜粉,20190715一,0,公斤,20190715一,
FD45D2041,香料-采唐-芋頭粉,20210719一20190805一,0,公斤,20210719一,
FD45D2051,香料-采唐-厚奶精,20230216四20210416五20190805一,0,公斤,20230216四,
FD52B3011,香料-台深-阿薩姆奶茶,20221003一,0,公斤,20221003一,
FD52B3021,香料-台深-伯爵奶茶,20221003一,0,公斤,20221003一,
FD52B3051,香料-台深-黑糖奶茶粉,20221117四,0,公斤,20221117四,
FD52B306291,香料-台深-泰式奶茶調味粉,20240726五,0,公斤,20240726五,
FD52B307291,香料-台深-抹茶歐蕾調味粉,20240726五,0,公斤,20240726五,
FD52B307292,香料-台深-抹茶歐蕾調味粉(美國),20250204二,0,公斤,20250204二,
FD52C302291,香料-台深-椰子調味粉,20240726五,0,公斤,20240726五,
FD52D2041,香料-台深-香檳調味粉,20220902五,0,公斤,20220902五,
FD52D2051,香料-台深-百香果粉B,20230714五20221102三,0,公斤,20230714五,
FD52D2071,香料-台深-美極斑蘭調味粉,20240313三230627二20230105四,0,公斤,20240313三,
FD52D209112,香料-台深-西瓜調味粉,20231106一,0,公斤,20231106一,
FD52D210292,香料-台深-特上芋頭調味粉(美國),20250204二,0,公斤,20250204二,
FD59Z2011,香料-安中-Deluxe黑巧克力霜淇淋粉,20200610三,0,公斤,20200610三,
FD59Z2021,香料-安中-Deluxe牛奶風味霜淇淋粉,20201211五20200918五,0,公斤,20201211五,
FD72B3011,香料-老虎堂-紅茶拿鐵,20221013四,0,公斤,20221013四,
FD75B6011,香料-歐比特-紅茶拿鐵,20230419三20220516一20220512四,0,公斤,20230419三,
FD75B6042,香料-歐比特-抹茶拿鐵JB,20220126三20220119三,0,公斤,20220126三,
FD75B6052,香料-歐比特-芋頭拿鐵JB,20220126三20220122六,0,公斤,20220126三,
FD75B6061,香料-歐比特-黑糖奶茶,20220901四,0,公斤,20220901四,
FD75B6071,香料-歐比特-紅茶奶茶,20220915四,0,公斤,20220915四,
FD75B6081,香料-歐比特-抹茶奶茶,20221226一,0,公斤,20221226一,
FD83D3011,香料-皇品-咖啡專用奶泡粉,20230301三,0,公斤,20230301三,
FD83Z2011,香料-皇品-香草霜淇淋粉,20231218一,0,公斤,20231218一,
FD83Z2021,香料-皇品-巧克力霜淇淋粉,20240314四,0,公斤,20240314四,
FD83Z2031,香料-皇品-焙茶奶茶霜淇淋粉,20240904三,0,公斤,20240904三,
FD83Z2041,香料-皇品-玫瑰荔枝霜淇淋粉,20241015一,0,公斤,20241015一,
FD87B3011,香料-珍煮丹-珍煮丹泰式奶茶粉,20240308五20230329三,0,公斤,20240308五,
FD87B301128,香料-珍煮丹-泰式奶茶粉(素),20240308五20230711二,0,公斤,20240308五,
FD91C3011,香料-柏元-太妃糖風味粉,20240516四20240318一20240131三,0,公斤,20240516四,
FD91C3021,香料-柏元-開心果風味粉,20241017四,0,公斤,20241017四,
