產品編號,產品名稱,版本別,標準工時,規格,單據備註,
GA01C3041,配料-興福-杏仁奶,1050314一/1010320二/990101五,0,公斤,20231129調降奶精用量，1050314一，興福/益合/桔品/友鴻/艾盟,
GA01D1031,配料-興福-CR1035奶精,20230216四20210706二1060119四,0,公斤,不加損耗不調整奶精廠牌，20230216四，興福/友鴻/祥鈺/台沛,
GA05A3011,配料-銓綿-摩卡咖啡粉,20230810四20210514五1020530四,0,公斤,20231101調降奶精用量，20230810四,
GA05B3011,配料-銓綿-奶茶粉2號,20210518二20210514五20200622一,0,公斤,20231215調降奶精用量，20210518二,
GA05B3012,配料-銓綿-奶茶粉-1號,1030118六/1010828五/1010519六,0,公斤,1030118六,
GA05C2011,配料-銓綿-開心果奶蓋粉,20250324一,0,公斤,20250324一,
GA05C3011,配料-銓綿-椰香粉,20210504二20190830五20180604一,0,公斤,20231206調降奶精用量，國華30g損秏0.6g，國華160g損秏0.5g，20210504二/銓綿/丞俐/安立司/明乘/國華/詠翔/雲祥,
GA05C3011-5,配料-銓綿-椰香粉-公司配方,20230118三20210521五20190830五,0,公斤,20231101調降奶精用量，20230118三,
GA05C3021,配料-銓綿-芝麻粉,20190730二/20190424三/990101五,0,公斤,"20231129調降奶精用量，20190730二,銓綿/茂宏",
GA05C3031,配料-銓綿-杏仁粉,20211208三20210528五1010314三,0,公斤,20231127調降奶精用量，20211208三，珍味豐/丞俐/安立司/明乘/龍吟,
GA05C3061,配料-銓綿-香草粉,20210528五990915三，981016五,0,公斤,20231129調降奶精用量，20210528五,
GA05C3071,配料-銓綿-麥芽巧克力,20210528五1050923五/990101五,0,公斤,20231215調降奶精用量，20210528五,
GA05C3101,配料-銓綿-巧克力粉,20210521五1020411四/1010406五,0,公斤,20231130調降奶精用量，20210521五/貓空,
GA05C3121,配料-銓綿-白巧克力風味粉,1051202五,0,公斤,1051202五,
GA05C3511,配料-銓綿-起司奶蓋粉,20230809三20200120一,0,公斤,20231215調降奶精用量，20230809三/老虎堂,
