產品編號,序號(PK),步驟,原料編號,原料名稱,單位,原料用量,產品基數,附註,
GA01C3041,GA01C3041-1,1,BA01A0101-1,糖粉,公斤,26.25,100,篩,
GA01C3041,GA01C3041-2,2,BA01B0101-1,鹽-10%,公斤,1.23,100,篩,
GA01C3041,GA01C3041-3,3,BA01B0103-1,蔗糖素-1%,公斤,2.98,100,篩,
GA01C3041,GA01C3041-4,4,FA01C3041,香料-興福-杏仁奶,公斤,5,100,細篩,
GA01C3041,GA01C3041-5,5,M001,1----------混合10分,一,,100,,
GA01C3041,GA01C3041-6,6,BA01K0101,馬鈴薯澱粉-鷹牌,公斤,11.5,100,篩,
GA01C3041,GA01C3041-7,7,BA01A0601-2,全脂奶粉-紐西蘭111243,公斤,13.07,100,,
GA01C3041,GA01C3041-8,8,BA01A0201,奶精-A-SD7,公斤,39.97,100,,
GA01C3041,GA01C3041-9,9,M101,回鍋,公斤,,100,,
GA01C3041,GA01C3041-10,10,M002,2----------混合10分,一,,100,,
GA01C3041,GA01C3041-11,11,M003,#NAME?,一,,100,,
GA01D1031,GA01D1031-1,1,BA01A0201,奶精-A-SD7,公斤,75.72,100,,
GA01D1031,GA01D1031-2,2,BA01A0103,葡萄糖,公斤,18.34,100,篩,
GA01D1031,GA01D1031-3,3,BA01B0101-1,鹽-10%,公斤,5.47,100,篩,
GA01D1031,GA01D1031-4,4,BA01B0301,二矽,公斤,0.11,100,細篩,
GA01D1031,GA01D1031-5,5,FA01D1031,香料-興福-CR1035奶精,公斤,0.36,100,細篩,
GA01D1031,GA01D1031-6,6,M101,回鍋,公斤,,100,,
GA01D1031,GA01D1031-7,7,M006,1----------混合15分,一,,100,,
GA01D1031,GA01D1031-8,8,M003,#NAME?,一,,100,,
GA05A3011,GA05A3011-1,1,BA01A0101-1,糖粉,公斤,45.52,100,篩,
GA05A3011,GA05A3011-2,2,BA01A0103,葡萄糖,公斤,0.98,100,篩,
